period,channel,studio,xlsx_file,paired_pdf_present,line_count,declared_total_eur,computed_total_eur,difference_eur,validation,parser_family,notes
2026-01,Proximus,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_PORNSTAR PLATINIUM NMG_Proximus_2026_01.xlsx,yes,4,59.835,59.835,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,PURE PASSION,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_PURE PASSION NMG_Proximus_2026_01.xlsx,yes,8,38.135,38.135,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,RAW ATTACK,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_RAW ATTACK NMG_Proximus_2026_01.xlsx,yes,8,76.25,76.250,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,TEAM SKEET,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_TEAM SKEET NMG_Proximus_2026_01.xlsx,yes,8,53.125,53.125,0.000,passed,xlsx_hpg_proximus,
2026-01,Proximus,TRUEX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./01-2026/proximus/report_TRUEX NMG_Proximus_2026_01.xlsx,yes,4,7.77,7.770,0.000,passed,xlsx_hpg_proximus,
2026-02,Canal Orange,CRAVE,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_CRAVE NMG_CanalPlay_2026_02.xlsx,yes,9,84.705,84.705,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,FILTHY KINGS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_02.xlsx,yes,4,5.825,5.825,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,GROOBY,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_02.xlsx,yes,13,51.76,51.760,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,MATURE XXX,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_02.xlsx,yes,8,21.975,21.975,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,MYLF,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_MYLF NMG_CanalPlay_2026_02.xlsx,yes,15,137.28,137.280,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,NUBILE FILMS,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_02.xlsx,yes,9,20.79,20.790,0.000,passed,xlsx_hpg_canal,
2026-02,Canal Orange,PORNSTAR PLATINIUM,Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports./02-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_02.xlsx,yes,1,1.725,1.725,0.000,passed,xlsx_hpg_canal,
