workspace_path,file_name,vendor_id,vendor,parser_family,processing_role,expected_action,sha256,hash_match,parser_function,classified_parser_family,classification_status,classifier_confidence,mapping_match,report_status,review_required,validation_status,record_count,posting_count,line_item_count,normalized_total,currency,schema_failed_count,failed_checks,error
Accounting Project\Sample Reports\Girlfriends Films - DVD - Emailed\April and May 2026\2022 VIV THOMAS REPORTS.xlsx,2022 VIV THOMAS REPORTS.xlsx,girlfriends_films,Girlfriends Films,xlsx_girlfriends_quickbooks,primary_source,,bc175f70e6df2eda0203bda85765956ba2d789c9dd4d45c969222f9a12f692bb,yes,parseGirlfriendsWorkbook,xlsx_girlfriends_quickbooks,matched_manifest,1.0,yes,ready,false,passed,4,2,2,1837.7125,USD,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,eab4a146d0ed0c45542a7fdb78cda987b64526fdccefa077d8e895880a205e96,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,9,1,8,48.83,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_GROOBY NMG_CanalPlay_2026_01.xlsx,report_GROOBY NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,56a97277d6b85799f78871c39717b13d2c300c32f6357222b373c5095a76c521,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,16,1,15,107.6,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,936b77850271fe2bfc67636f801c2d9bb838d1248f8d2806f53a5ad52441bc76,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,17,1,16,223.455,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,7fa674296cdf1fe15cef7c49f2eccf342830669fd0fb3af99991e5157e5d9d5f,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,17,1,16,131.87,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,cef3b325ddac51fe6aff72a87e3855cf8e6b12f8cb6425b1f2bc81410220c959,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,6,1,5,33.075,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,6e234e8f11a2e73efa6318a868fe2f536eb57a7dc0e1057b6c7e1f627a6dccee,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,7,1,6,43.93,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,f8826ddf8665ef19479aa423adfcdc9abc200e5e52ef238bca9e5715b0130490,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,5,1,4,8.38,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,c3a27120c08f08ecc94567f9af381a097fbc3a420278b164da9099740f440cf8,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,8,1,7,54.66,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\canal-orange\report_TRUEX NMG_CanalPlay_2026_01.xlsx,report_TRUEX NMG_CanalPlay_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_canal,primary_source,,a47c0fbdb1ca546b517369d6fecf840c0df0ebd994e331a9999458d9de524932,yes,parseHpgWorkbook,xlsx_hpg_canal,matched_manifest,1.0,yes,review,true,warning,4,1,3,7.015,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_CRAVE NMG_Netgem_2026_01.xlsx,report_CRAVE NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,2a2c3f1419fe505bd4ab583b80976172420a2a724913197cf9bdf171cc265781,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,4,1,3,30.995,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_GROOBY NMG_Netgem_2026_01.xlsx,report_GROOBY NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,d041070a781121fcec7f2f75335c13fe48b1b34c1cd66d46a4286319cbdea74a,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,4,1,3,10.965,EUR,0,,
Accounting Project\Sample Reports\HPG - Licensing - Google Drive\March 2026 last quarter reports\01-2026\netgem\report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,hpg,HPG Production,xlsx_hpg_netgem,primary_source,,792c4ec74a2e6a7408c6287e5fd6b7a60417cb90be43ea64e86b8a0e0d924d00,yes,parseHpgWorkbook,xlsx_hpg_netgem,matched_manifest,1.0,yes,review,true,warning,2,1,1,1.915,EUR,0,,
